Response_allseq,Period,Treatment,Gene
3.073875062,per1,trt1,Gene4
3.456761475,per1,trt1,Gene5
2.092806181,per1,trt1,Gene6
1.857152949,per1,trt1,Gene7
1.44854684,per1,trt1,Gene8
2.651733688,per1,trt1,Gene9
2.656224052,per1,trt1,Gene10
3.503872794,per2,trt3,Gene1
2.538702041,per2,trt3,Gene2
1.827656458,per2,trt3,Gene3
3.183596082,per2,trt3,Gene4
3.478624999,per2,trt3,Gene5
2.228473941,per2,trt3,Gene6
1.94482472,per2,trt3,Gene7
1.344890975,per2,trt3,Gene8
2.642387356,per2,trt3,Gene9
2.712714625,per2,trt3,Gene10
3.448910199,per3,trt2,Gene1
1.764418347,per3,trt2,Gene2
2.035500748,per3,trt2,Gene3
3.171485474,per3,trt2,Gene4
3.451556658,per3,trt2,Gene5
2.264644516,per3,trt2,Gene6
2.153111379,per3,trt2,Gene7
1.620131245,per3,trt2,Gene8
2.700468572,per3,trt2,Gene9
2.718624658,per3,trt2,Gene10
3.503638772,per1,trt1,Gene1
2.484594461,per1,trt1,Gene2
1.844590532,per1,trt1,Gene3
3.196256084,per1,trt1,Gene4
3.467592509,per1,trt1,Gene5
2.113273761,per1,trt1,Gene6
1.760455166,per1,trt1,Gene7
1.400641756,per1,trt1,Gene8
2.588308076,per1,trt1,Gene9
2.919212303,per1,trt1,Gene10
3.537912281,per2,trt3,Gene1
2.47518867,per2,trt3,Gene2
1.82800189,per2,trt3,Gene3
3.136189745,per2,trt3,Gene4
3.47514067,per2,trt3,Gene5
2.195127082,per2,trt3,Gene6
1.941064983,per2,trt3,Gene7
1.489167827,per2,trt3,Gene8
2.582122407,per2,trt3,Gene9
2.730468235,per2,trt3,Gene10
3.508544013,per3,trt2,Gene1
2.492827388,per3,trt2,Gene2
1.957517199,per3,trt2,Gene3
3.1825191,per3,trt2,Gene4
3.473360923,per3,trt2,Gene5
2.287877091,per3,trt2,Gene6
2.179616143,per3,trt2,Gene7
1.552967211,per3,trt2,Gene8
2.615383337,per3,trt2,Gene9
2.88862442,per3,trt2,Gene10
3.504232656,per1,trt1,Gene1
2.485846693,per1,trt1,Gene2
1.908582365,per1,trt1,Gene3
3.146651964,per1,trt1,Gene4
3.458292752,per1,trt1,Gene5
2.186500558,per1,trt1,Gene6
2.021046143,per1,trt1,Gene7
1.624316171,per1,trt1,Gene8
2.512891814,per1,trt1,Gene9
2.733412915,per1,trt1,Gene10
3.519472712,per2,trt3,Gene1
2.706340465,per2,trt3,Gene2
1.887813781,per2,trt3,Gene3
3.110902733,per2,trt3,Gene4
3.468544219,per2,trt3,Gene5
2.162358295,per2,trt3,Gene6
2.002932901,per2,trt3,Gene7
1.456243678,per2,trt3,Gene8
2.552180304,per2,trt3,Gene9
2.935335275,per2,trt3,Gene10
3.472704809,per3,trt2,Gene1
2.578866275,per3,trt2,Gene2
1.775590002,per3,trt2,Gene3
3.050148163,per3,trt2,Gene4
3.449564016,per3,trt2,Gene5
1.963744142,per3,trt2,Gene6
2.021262952,per3,trt2,Gene7
1.634830213,per3,trt2,Gene8
2.662093818,per3,trt2,Gene9
2.785108992,per3,trt2,Gene10
3.524108822,per1,trt1,Gene1
2.536704453,per1,trt1,Gene2
1.876990318,per1,trt1,Gene3
3.015520763,per1,trt1,Gene4
3.468261379,per1,trt1,Gene5
2.233400332,per1,trt1,Gene6
1.97102662,per1,trt1,Gene7
1.459211263,per1,trt1,Gene8
2.425061784,per1,trt1,Gene9
2.769513639,per1,trt1,Gene10
3.502923752,per2,trt3,Gene1
2.53720908,per2,trt3,Gene2
1.775733263,per2,trt3,Gene3
3.10275386,per2,trt3,Gene4
3.474704698,per2,trt3,Gene5
2.151069729,per2,trt3,Gene6
1.805602014,per2,trt3,Gene7
1.752427481,per2,trt3,Gene8
2.592083832,per2,trt3,Gene9
2.964638907,per2,trt3,Gene10
3.523125318,per3,trt2,Gene1
2.685265164,per3,trt2,Gene2
1.863046399,per3,trt2,Gene3
3.119092185,per3,trt2,Gene4
3.476729033,per3,trt2,Gene5
2.145511169,per3,trt2,Gene6
2.022559568,per3,trt2,Gene7
1.214124805,per3,trt2,Gene8
2.570436214,per3,trt2,Gene9
2.534960516,per3,trt2,Gene10
